"destination_country","origin_country","Rank","1990","1995","2000","2005","2010","2015","2019"
"United States of America","Guatemala",140,0,0,0,0,0,0,1070743
"Uzbekistan","Russian Federation",141,0,0,1067247,0,0,0,0
"Kuwait","India",142,0,0,0,0,0,1061758,0
"United States of America","Republic of Korea",143,0,0,0,0,0,1060019,0
"Colombia","Venezuela (Bolivarian Republic of)",144,0,0,0,0,0,0,1048714
"United States of America","India",145,0,0,1048517,0,0,0,0
"Russian Federation","Uzbekistan",146,0,0,0,1030041,0,0,0
"France","Morocco",147,0,0,0,0,0,0,1020162
"Italy","Romania",148,0,0,0,0,1016949,0,0
"Italy","Romania",149,0,0,0,0,0,1016008,0
"United States of America","Viet Nam",150,0,0,1013266,0,0,0,0
"Germany","Russian Federation",151,0,0,0,0,0,0,999162
"United States of America","El Salvador",152,0,0,0,997858,0,0,0
"United States of America","Guatemala",153,0,0,0,0,0,991516,0
"United States of America","Republic of Korea",154,0,0,0,990111,0,0,0
"United Arab Emirates","Pakistan",155,0,0,0,0,0,0,981536
"Uzbekistan","Russian Federation",156,0,0,0,980674,0,0,0
"Saudi Arabia","India",157,0,0,978992,0,0,0,0
"Singapore","Malaysia",158,0,0,0,0,971827,0,0
"France","Morocco",159,0,0,0,0,0,963774,0
"Malaysia","Indonesia",160,0,0,0,0,960819,0,0
"Singapore","Malaysia",161,0,0,0,0,0,0,952261
"Sudan","Ethiopia",162,942295,0,0,0,0,0,0
"Germany","Kazakhstan",163,0,0,0,0,0,0,940296
"Saudi Arabia","Pakistan",164,0,0,0,0,938913,0,0
"Saudi Arabia","Egypt",165,0,0,0,0,0,0,938649
"Bangladesh","Myanmar",166,0,0,0,0,0,0,937521
"Thailand","Lao People's Democratic Republic",167,0,0,0,0,0,0,934936
"Saudi Arabia","India",168,0,929709,0,0,0,0,0
"Russian Federation","Uzbekistan",169,0,918869,0,0,0,0,0
"United Kingdom","India",170,0,0,0,0,0,0,917686
"United Arab Emirates","India",171,0,0,915878,0,0,0,0
"United Kingdom","Poland",172,0,0,0,0,0,0,914022
