,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1 -  International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019
30,Madagascar,,450,C,"23,917","21,177","23,541","26,058","28,905","32,075","34,934","13,348","11,901","13,276","14,744","16,410","18,270","19,897","10,569","9,276","10,265","11,314","12,495","13,805","15,037"
31,Malawi,,454,B R,"1,127,724","241,624","232,620","221,661","217,722","232,803","247,652","546,520","116,198","111,530","105,931","103,869","110,893","117,932","581,204","125,426","121,090","115,730","113,853","121,910","129,720"
32,Mauritius,1,480,C,"3,613","7,493","15,543","19,647","24,836","28,585","28,849","1,763","3,228","5,705","8,943","13,188","15,832","15,979","1,850","4,265","9,838","10,704","11,648","12,753","12,870"
33,Mayotte,,175,B,"15,229","26,316","45,474","63,176","72,757","73,992","74,643","8,780","14,679","23,546","31,364","34,500","34,235","34,537","6,449","11,637","21,928","31,812","38,257","39,757","40,106"
34,Mozambique,,508,B R,"122,332","168,256","195,702","264,679","306,471","321,794","334,665","66,060","91,210","103,175","127,908","148,105","155,510","161,731","56,272","77,046","92,527","136,771","158,366","166,284","172,934"
35,Réunion,,638,B,"57,210","77,159","100,678","115,076","123,029","127,209","129,153","30,724","40,710","52,264","59,196","62,707","64,537","65,524","26,486","36,449","48,414","55,880","60,322","62,672","63,629"
36,Rwanda,,646,B R,"160,024","215,735","347,076","423,187","426,901","514,647","539,932","80,763","109,783","175,741","213,279","214,048","256,327","269,917","79,261","105,952","171,335","209,908","212,853","258,320","270,015"
37,Seychelles,,690,B,"3,721","5,148","6,574","8,997","11,420","12,791","12,926","2,204","3,021","3,837","5,820","7,804","8,954","9,049","1,517","2,127","2,737","3,177","3,616","3,837","3,877"
38,Somalia,,706,I R,"478,294","19,527","20,097","20,670","48,106","40,990","52,131","244,201","10,282","10,628","11,047","25,213","21,584","27,184","234,093","9,245","9,469","9,623","22,893","19,406","24,947"
39,South Sudan,,728,B R,..,..,..,..,"257,905","844,122","865,552",..,..,..,..,"132,693","430,949","441,677",..,..,..,..,"125,212","413,173","423,875"
