,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes),,,,,,Annual rate of change of the migrant stock (male),,,,,,Annual rate of change of the migrant stock (female),,,,,
,,,,,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
81,Egypt,,818,B R,-0.8,2.0,8.7,1.7,2.6,8.9,-0.8,2.1,10.4,1.0,3.5,6.7,-0.9,2.0,6.5,2.5,1.5,11.7
82,Libya,,434,C,2.1,2.2,1.9,1.8,2.4,1.5,4.3,4.1,3.8,1.9,2.3,1.5,-0.7,-0.9,-2.0,1.6,2.7,1.5
83,Morocco,,504,C,-1.7,1.0,0.5,5.3,5.3,1.6,-2.0,0.7,0.2,5.2,5.2,1.6,-1.4,1.4,0.8,5.4,5.4,1.6
84,Sudan,4,729,B R,-5.7,-5.4,-7.8,2.5,0.1,17.0,-5.6,-5.2,-7.5,2.5,-0.2,16.7,-5.8,-5.5,-8.0,2.5,0.3,17.3
85,Tunisia,,788,C,-0.1,-0.6,-0.9,4.2,5.4,0.4,0.2,-0.4,-0.7,4.2,5.5,0.4,-0.3,-0.8,-1.1,4.1,5.3,0.4
86,Western Sahara,,732,I,2.1,1.9,3.4,2.9,2.8,1.0,2.4,2.1,3.8,3.2,3.2,1.0,1.8,1.6,2.8,2.4,2.4,1.0
87,Western Asia,,922,,2.0,1.8,3.1,7.0,5.3,3.3,2.2,2.0,3.8,8.1,5.2,3.4,1.8,1.5,2.1,5.2,5.6,3.2
88,Armenia,,51,B R,1.0,-1.1,-6.8,-16.0,-2.0,-0.1,1.0,-1.1,-6.9,-16.1,-2.0,0.2,1.0,-1.1,-6.7,-15.9,-2.0,-0.4
89,Azerbaijan,5,31,B R,-0.9,-1.0,-1.6,-1.7,-0.9,-1.0,-1.1,-1.1,-0.8,-0.9,-0.5,-1.0,-0.8,-0.9,-2.2,-2.5,-1.4,-1.0
90,Bahrain,,48,C,3.5,3.0,10.5,9.8,1.4,1.3,3.2,2.7,11.1,10.0,1.3,1.3,4.0,3.6,8.9,9.1,1.4,1.3
91,Cyprus,6,196,B,6.9,5.1,7.6,9.9,0.0,-0.0,6.0,4.6,7.4,10.2,0.1,0.3,7.7,5.6,7.7,9.6,-0.0,-0.3
92,Georgia,7,268,B,-13.9,-13.9,-1.0,0.2,1.0,0.8,-13.9,-13.9,-1.0,0.2,1.0,0.7,-13.9,-13.9,-1.0,0.2,1.0,0.8
93,Iraq,,368,C R,17.4,1.1,-9.2,-2.5,22.4,0.6,14.4,1.0,-8.0,-2.1,21.1,0.6,22.2,1.2,-11.0,-3.2,24.4,0.6
