,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
74,Saint Helena,3,654,C,38.2,40.2,43.5,47.9,45.2,33.4,30.3,,,,,,,,
75,Senegal,,686,B R,48.7,48.8,47.6,47.6,46.9,46.9,47.0,,,,,,,,
76,Sierra Leone,,694,B R,44.7,43.2,44.7,47.5,45.0,43.8,43.5,,,,,,,,
77,Togo,,768,C R,49.4,50.1,49.9,49.4,49.4,49.7,49.4,,,,,,,,
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,42.4,41.6,40.7,38.3,35.1,35.5,35.5,,,,,,,,
79,Northern Africa,,912,,48.8,46.9,44.4,40.2,40.8,40.5,43.3,,,,,,,,
80,Algeria,,12,B R,45.2,45.2,45.2,45.2,47.1,47.2,47.2,,,,,,,,
81,Egypt,,818,B R,47.1,47.0,46.8,42.0,43.8,41.3,46.2,,,,,,,,
82,Libya,,434,C,46.9,40.8,35.0,28.7,28.4,28.8,28.8,,,,,,,,
83,Morocco,,504,C,47.1,47.8,48.6,49.3,49.6,49.8,49.8,,,,,,,,
84,Sudan,4,729,B R,50.4,50.1,49.7,49.1,49.2,49.7,50.4,,,,,,,,
85,Tunisia,,788,C,50.2,49.7,49.1,48.6,48.5,48.3,48.2,,,,,,,,
86,Western Sahara,,732,I,45.5,44.8,44.1,42.8,41.9,40.9,40.9,,,,,,,,
87,Western Asia,,922,,41.4,40.9,40.3,38.2,34.8,35.3,35.0,,,,,,,,
88,Armenia,,51,B R,58.9,58.9,58.9,59.2,59.4,59.5,59.0,,,,,,,,
89,Azerbaijan,5,31,B R,56.2,56.5,56.9,55.2,53.2,52.1,52.1,,,,,,,,
90,Bahrain,,48,C,29.1,30.0,30.9,28.6,27.7,27.7,27.7,,,,,,,,
91,Cyprus,6,196,B,53.3,55.4,56.6,57.0,56.3,56.2,55.6,,,,,,,,
