,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,,,,,,
,,,,"Table 6 - Estimated refugee stock (including asylum seekers) at mid-year by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,,Refugees and asylum seekers as a percentage of the international migrant stock,,,,,,,Annual rate of change of the refugee stock (including asylum seekers),,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,1990,1995,2000,2005,2010,2015,2019,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2019
60,Western Africa,,914,,"734,852","1,397,899","712,367","305,102","197,754","382,322","383,021",16.4,25.7,13.5,5.2,3.1,5.4,5.2,12.9,-13.5,-17.0,-8.7,13.2,0.0
61,Benin,,204,C B R,657,"2,317","3,977","5,558","7,139",708,"1,328",0.9,2.2,3.0,2.5,2.3,0.2,0.3,25.2,10.8,6.7,5.0,-46.2,15.7
62,Burkina Faso,,854,B R,350,"29,777","1,010","1,295","1,065","34,160","24,190",0.1,6.4,0.2,0.2,0.2,4.8,3.4,88.9,-67.7,5.0,-3.9,69.4,-8.6
63,Cabo Verde,,132,B,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
64,Côte d'Ivoire,,384,C B,"136,381","297,908","120,691","41,627","26,218","2,842","2,842",7.5,14.3,5.6,1.8,1.1,0.1,0.1,15.6,-18.1,-21.3,-9.2,-44.4,0.0
65,Gambia,,270,B,39,"6,599","12,016","7,998","8,378","7,854","8,044",0.0,4.4,6.6,4.4,4.5,4.1,3.7,102.6,12.0,-8.1,0.9,-1.3,0.6
66,Ghana,,288,B,"4,102","83,200","12,991","53,537","13,828","19,265","13,469",2.5,32.9,6.8,17.6,4.1,4.6,2.9,60.2,-37.1,28.3,-27.1,6.6,-8.9
67,Guinea,,324,C B R,"325,000","672,298","427,206","63,525","14,113","8,766","5,259",80.5,86.8,76.3,27.7,7.9,6.9,4.4,14.5,-9.1,-38.1,-30.1,-9.5,-12.8
68,Guinea-Bissau,,624,B R,"3,004","15,350","7,587","7,616","7,679","8,807","11,221",19.5,54.9,37.1,36.7,36.5,39.4,41.7,32.6,-14.1,0.1,0.2,2.7,6.1
69,Liberia,,430,B,125,"120,080","69,315","10,168","24,735","38,188","11,533",0.1,57.6,45.6,11.7,25.0,33.6,12.2,137.4,-11.0,-38.4,17.8,8.7,-29.9
70,Mali,,466,B R,"13,411","17,916","8,412","11,233","13,558","16,257","17,953",8.3,10.2,4.4,4.4,4.0,3.9,3.8,5.8,-15.1,5.8,3.8,3.6,2.5
71,Mauritania,,478,C R,"60,000","34,394",350,632,"26,717","77,891","78,183",53.7,38.4,0.6,1.1,31.6,46.8,45.2,-11.1,-91.8,11.8,74.9,21.4,0.1
72,Niger,,562,B R,792,"27,622",58,301,314,"124,827","165,990",0.7,18.9,0.0,0.2,0.2,49.3,56.4,71.0,-123.3,32.9,0.8,119.7,7.1
73,Nigeria,,566,C R,"3,571","8,118","7,270","9,019","8,747","1,781","10,535",0.8,1.8,1.5,0.9,0.9,0.1,0.8,16.4,-2.2,4.3,-0.6,-31.8,44.4
74,Saint Helena,3,654,C,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,..,..,..,..,..,..
75,Senegal,,686,B R,"58,113","66,769","22,715","23,341","22,849","17,511","17,989",21.5,23.2,9.8,9.8,8.9,6.6,6.5,2.8,-21.6,0.5,-0.4,-5.3,0.7
76,Sierra Leone,,694,B R,"125,830","4,675","6,546","59,965","8,363",760,678,56.6,4.7,6.7,41.1,10.6,1.3,1.2,-65.9,6.7,44.3,-39.4,-48.0,-2.9
77,Togo,,768,C R,"3,477","10,876","12,223","9,287","14,051","22,705","13,807",4.1,10.7,8.9,4.6,5.5,8.2,4.9,22.8,2.3,-5.5,8.3,9.6,-12.4
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,"3,769,356","4,649,756","4,913,157","5,495,969","6,945,517","11,105,589","13,116,213",21.4,24.6,24.2,23.6,21.3,26.4,27.0,4.2,1.1,2.2,4.7,9.4,4.2
