,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,
,,,,,Population Division,,,,,,,,,,,,,,,,,
,,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Workbook: UN_Migrant StockByAgeAndSex_2019.xlsx,,,,,,,,,,,,,,,,,
,,,,,"Table 5. Female migrants as a percentage of the international migrant stock by age and by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,
,,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,,,
,,,,,,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
1990,1990060,Western Africa,,914,,50.1,50.4,50.7,52.8,51.6,47.3,43.6,40.2,37.7,35.9,35.7,35.4,39.0,40.3,43.6,46.4,46.5
1990,1990061,Benin,,204,C B R,50.1,52.4,53.8,52.7,48.7,46.7,42.8,41.6,39.3,37.7,37.8,35.0,41.9,47.2,44.9,52.7,47.3
1990,1990062,Burkina Faso,,854,B R,50.1,49.5,48.9,50.5,53.8,57.3,58.5,58.6,59.0,58.0,57.1,54.3,56.1,53.2,56.3,58.9,52.0
1990,1990063,Cabo Verde,,132,B,48.9,49.1,49.4,49.2,48.8,49.8,53.3,54.1,51.8,49.1,48.9,50.0,54.6,63.0,63.0,63.0,50.4
1990,1990064,Côte d'Ivoire,,384,C B,54.8,57.0,59.1,57.2,52.3,46.2,41.1,36.3,32.1,28.5,25.7,24.6,26.3,27.9,28.1,29.1,44.3
1990,1990065,Gambia,,270,B,49.7,51.5,53.7,53.9,49.5,42.9,37.8,34.4,31.3,30.4,29.1,29.0,29.0,32.1,32.0,32.8,43.9
1990,1990066,Ghana,,288,B,49.5,50.3,51.1,51.5,52.0,51.9,51.7,50.6,48.5,46.9,45.7,44.9,42.7,41.9,42.3,37.7,49.6
1990,1990067,Guinea,,324,C B R,52.0,49.4,48.7,49.4,50.2,50.2,49.7,48.8,48.4,48.3,48.5,48.8,61.8,62.2,63.5,63.1,50.1
1990,1990068,Guinea-Bissau,,624,B R,49.2,49.7,50.9,54.0,56.7,53.9,48.7,44.7,43.0,43.0,42.8,44.2,43.4,43.3,42.9,49.0,50.0
1990,1990069,Liberia,,430,B,59.2,58.2,51.8,42.9,37.2,34.4,32.8,31.3,30.6,31.2,33.2,35.3,37.2,41.9,46.3,47.1,43.2
1990,1990070,Mali,,466,B R,46.0,45.8,48.2,50.5,52.7,52.1,51.5,51.9,51.2,53.1,52.1,49.4,45.2,43.3,42.9,42.3,49.0
1990,1990071,Mauritania,,478,C R,47.7,47.6,61.1,56.6,51.0,45.0,43.3,42.3,42.4,44.1,43.2,46.3,47.9,53.3,59.5,63.6,48.4
1990,1990072,Niger,,562,B R,50.7,52.4,54.7,59.2,61.0,58.2,54.0,50.3,47.1,44.4,40.5,38.6,39.0,40.7,38.7,41.0,52.2
1990,1990073,Nigeria,,566,C R,48.2,50.0,47.1,50.5,50.5,42.6,36.7,31.3,31.6,28.6,34.5,30.2,35.7,37.2,39.2,40.9,43.9
1990,1990074,Saint Helena,3,654,C,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.2
1990,1990075,Senegal,,686,B R,49.5,45.7,43.6,50.2,52.9,52.4,52.6,49.2,44.0,42.7,41.7,39.4,48.2,51.1,55.2,58.0,48.7
1990,1990076,Sierra Leone,,694,B R,42.6,42.1,41.3,42.4,45.6,49.8,51.0,51.2,52.1,51.6,50.4,43.0,37.7,33.2,34.1,34.4,44.7
1990,1990077,Togo,,768,C R,53.4,51.3,49.1,50.0,51.8,51.4,46.8,43.7,42.0,43.2,44.2,43.7,48.8,47.7,56.8,52.4,49.4
1990,1990078,NORTHERN AFRICA AND WESTERN ASIA,,1833,,51.2,50.9,51.0,49.4,44.3,37.1,34.1,34.1,35.1,37.6,42.0,47.0,51.0,54.0,55.5,57.5,42.4
1990,1990079,Northern Africa,,912,,51.5,51.2,52.5,53.2,51.8,48.2,44.8,42.9,42.4,43.0,45.5,47.1,47.8,47.3,49.0,50.8,48.8
1990,1990080,Algeria,,12,B R,43.9,43.3,42.9,44.7,45.6,46.4,46.8,46.0,45.7,47.3,47.6,45.3,43.8,41.8,41.8,41.8,45.2
1990,1990081,Egypt,,818,B R,51.5,51.0,50.5,47.4,43.4,42.0,43.5,43.8,42.8,43.4,45.1,47.9,51.8,56.2,56.2,56.2,47.1
1990,1990082,Libya,,434,C,70.3,70.3,70.4,67.8,58.7,45.2,34.1,26.1,21.2,19.8,21.4,26.2,40.5,53.6,52.4,65.5,46.9
1990,1990083,Morocco,,504,C,44.7,43.8,42.6,42.3,43.6,45.2,46.0,45.7,45.8,46.9,48.9,51.5,53.9,55.8,57.2,57.8,47.1
1990,1990084,Sudan,4,729,B R,49.1,49.5,50.3,51.0,51.5,51.8,51.8,51.4,51.1,50.8,50.6,50.3,48.7,45.8,49.5,51.5,50.4
1990,1990085,Tunisia,,788,C,49.5,49.7,49.7,48.4,47.5,48.2,49.6,50.5,51.0,51.7,52.2,52.6,54.3,54.3,54.1,55.1,50.2
1990,1990086,Western Sahara,,732,I,48.0,47.7,49.6,49.2,49.0,46.7,45.4,43.5,42.1,41.0,40.6,41.1,42.0,43.9,47.8,65.0,45.5
1990,1990087,Western Asia,,922,,51.1,50.8,50.6,48.3,42.9,35.9,33.2,33.3,34.3,36.9,41.4,47.0,51.8,55.0,56.5,58.3,41.4
1990,1990088,Armenia,,51,B R,47.1,48.0,49.0,51.2,54.3,57.5,59.3,59.0,58.4,58.5,58.9,59.2,59.2,72.9,87.8,72.6,58.9
1990,1990089,Azerbaijan,5,31,B R,47.9,48.7,49.6,51.5,54.1,56.2,57.1,56.8,56.8,57.0,57.3,57.7,59.0,62.8,62.8,62.9,56.2
1990,1990090,Bahrain,,48,C,48.5,48.4,47.8,48.1,37.9,29.2,23.5,21.2,19.8,18.4,19.2,20.1,24.7,33.1,43.4,40.6,29.1
1990,1990091,Cyprus,6,196,B,53.1,50.0,47.6,50.5,54.2,56.5,56.6,55.3,54.1,53.2,52.9,53.5,54.9,52.8,56.5,61.3,53.3
1990,1990092,Georgia,7,268,B,40.0,42.5,46.1,52.5,56.1,58.6,60.3,58.3,60.4,56.2,61.2,48.9,61.3,61.3,61.3,61.3,56.2
1990,1990093,Iraq,,368,C R,36.8,37.4,38.0,36.3,34.4,30.7,26.9,24.6,28.4,32.9,36.4,37.3,38.7,40.4,40.3,40.4,33.3
1990,1990094,Israel,,376,B R,49.1,48.7,48.3,48.6,49.9,51.5,52.4,52.4,52.9,52.8,52.7,52.9,53.7,53.4,54.8,57.5,52.8
1990,1990095,Jordan,,400,C R,48.9,48.9,49.0,48.9,48.7,48.7,48.9,48.9,48.6,48.4,48.5,48.9,49.3,49.2,49.0,49.1,48.8
1990,1990096,Kuwait,,414,C R,49.2,49.1,49.1,50.3,47.5,35.3,32.9,31.6,28.9,26.9,26.1,27.2,36.4,42.0,37.8,56.7,39.0
1990,1990097,Lebanon,,422,B R,49.0,49.1,49.3,48.9,48.3,48.3,49.0,48.8,47.9,47.1,47.6,48.9,50.5,52.3,52.7,52.7,48.8
1990,1990098,Oman,,512,C,48.0,47.4,47.1,45.1,24.6,18.5,17.2,14.2,11.8,11.0,10.8,15.3,25.0,40.5,44.3,46.9,20.2
1990,1990099,Qatar,,634,C,44.5,44.2,42.4,38.2,31.6,24.9,19.8,17.7,16.7,16.6,17.3,21.6,29.7,36.6,40.3,42.3,27.1
1990,1990100,Saudi Arabia,,682,C R,54.9,54.9,55.3,47.4,36.7,27.8,25.6,24.9,21.6,20.8,21.6,26.7,32.3,42.0,48.5,53.2,33.5
1990,1990101,State of Palestine,8,275,B,47.2,48.1,49.2,51.1,54.1,58.2,62.2,63.8,61.9,58.0,55.5,55.3,54.5,53.6,53.1,50.2,54.2
1990,1990102,Syrian Arab Republic,,760,C R,49.5,49.2,49.9,51.3,52.0,51.3,49.2,48.6,43.9,44.3,44.9,51.5,54.1,56.7,54.7,54.7,49.0
1990,1990103,Turkey,,792,B R,51.6,51.8,51.8,50.7,49.4,49.6,50.7,50.5,48.0,45.8,47.3,50.6,51.6,55.5,56.4,58.2,50.4
1990,1990104,United Arab Emirates,,784,C R,47.3,47.0,46.3,40.0,32.9,28.4,22.3,19.5,20.1,15.3,15.2,18.7,27.1,38.0,47.1,51.4,28.7
